COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
Pertarratenge,Moderate,2020-06-30,859,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ngurratjuta Pmara Ntjarra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-24.41326,133.31956
Perte Therre,Low,2020-06-30,927,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,15.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.75818,133.64573
Petyale,Low,2020-06-30,860,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,16.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-21.99972,133.43363
Phillipson Bore,Low,2020-06-30,133,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,2.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.09593,134.43038
Picininny Bore,Moderate,2020-06-30,604,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.82711,129.78279
Pickertaramoor,Moderate,2020-06-30,744,Minor,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.766666,130.9
Pigeon Hole,High,2020-06-30,639,Minor,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,141.0,Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-16.81412,131.22037
Pine Creek Compound,Moderate,2020-06-30,640,Town Camp,Yes,ERA,Victoria-Daly Regional Council,Northern Land Council,20.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-13.81601,131.83106
Pine Hill,Moderate,2020-06-30,134,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.37949,133.05366
Pingala,Moderate,2020-06-30,255,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.093204,133.882691
Pinja,Moderate,2020-06-30,752,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.80958,130.37095
Pinpirnga,High,2020-06-30,136,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.16275,129.46322
Pirlangimpi,Moderate,2020-06-30,411,Major,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,436.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.4059,130.4172
Pmara Jutunta,Moderate,2020-06-30,138,Major,No,Alice Springs,Central Desert Regional Council,Central Land Council,207.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-22.20878,133.43073
Policemans Hole,High,2020-06-30,701,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.77853,129.106541
Pulardi,Low,2020-06-30,139,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,10.0,Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.56332,132.37978
Pungalindum,Moderate,2020-06-30,730,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Urapuntja Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-22.07061,134.68879
Punjarriji,Moderate,2020-06-30,840,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-20.31062,134.50807
Punritjanta,Moderate,2020-06-30,140,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.67392,129.29393
Purrukuwurru,High,2020-06-30,732,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.94562,135.69629
Puta Puta,Moderate,2020-06-30,141,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.07345,129.64045
Putjamirra,Low,2020-06-30,1020,Family Outstation,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,3.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.22457,130.36849
Putulu,Low,2020-06-30,117,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,4.0,Yapa-Kurlangu Ngurrara Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-21.34382,131.36997
Puyurru,Moderate,2020-06-30,142,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.33117,130.81753
Pwerte Marnte Marnte,Moderate,2020-06-30,940,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.37338,133.71982
Pwertentye,High,2020-06-30,791,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.37291,134.79239
Railway Dam,Moderate,2020-06-30,412,Town Camp,No,ERA,Darwin City Council,Northern Land Council,11.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.454042,130.843903
Ramingining,Moderate,2020-06-30,550,Major,No,Arnhem,East Arnhem Regional Council,Northern Land Council,1025.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.32779,134.93001
Rarangantjuta,Moderate,2020-06-30,874,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.98488,133.14814
Raymangirr,Low,2020-06-30,552,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,10.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.340305,136.00253
Red Lily,Moderate,2020-06-30,799,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,4.0,Warnbi Aboriginal Corporatio - Kakadu,Aboriginal Corporation,Yes,Yes,No,-12.86449,132.56967
Red Sandhill,Low,2020-06-30,5,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-24.009736,132.852792
Redcliff,Moderate,2020-06-30,414,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-14.01484,129.708125
Rittarangu,High,2020-06-30,641,Minor,No,Savanna,Roper Gulf Regional Council,Northern Land Council,160.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.71011,134.56526
Robinson River,Moderate,2020-06-30,258,Major,No,Savanna,Roper Gulf Regional Council,Northern Land Council,261.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.759736,136.980569
Rockhole,Moderate,2020-06-30,642,Minor,Yes,Savanna,Katherine Town Council,Northern Land Council,170.0,Kalano Community Association Inc,Aboriginal Corporation,Yes,Yes,No,-14.51935,132.18633
Rodna,Moderate,2020-06-30,144,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.76213,132.67042
Rorruwuy,Moderate,2020-06-30,469,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,35.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.20292,136.29564
Rurrangala,Low,2020-06-30,480,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,15.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.90425,136.25382
Rutjingka,Low,2020-06-30,861,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,4.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.91581,132.81527
