COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
Wada Warra,Moderate,2020-06-30,214,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,12.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-15.74902,136.25224
Wadeye,High,2020-06-30,426,Major,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,2679.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.2404,129.5205
Waidaboonar,High,2020-06-30,381,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.93822,132.78225
Wakurlpu,Low,2020-06-30,908,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,7.0,North Barkly Aboriginal Corporation/ Far Northern Contractors Pty Ltd,Aboriginal Corporation,Yes,Yes,No,-20.63229,134.21688
Walangurrminy,Moderate,2020-06-30,983,Family Outstation,Yes,Vernon Arafura,Un-Incorporate (Cox-Daly),Northern Land Council,13.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.97482,130.77614
Waldnarr,Low,2020-06-30,556,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,8.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-13.76563,135.80531
Walka,Moderate,2020-06-30,291,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.17957,132.58843
Walkabout Bore,Moderate,2020-06-30,720,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,26.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.38261,133.81687
Walkalba,Moderate,2020-06-30,750,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.16249,131.81991
Wallace Rockhole,Moderate,2020-06-30,174,Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,120.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-24.1245,133.0863
Wallaces Lagoon,Moderate,2020-06-30,24903,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,2.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.122667,136.6356
Walpiri,Moderate,2020-06-30,606,Town Camp,No,ERA,Katherine Town Council,Northern Land Council,60.0,Kalano Community Association Inc,Aboriginal Corporation,Yes,Yes,No,-14.473611,132.2693
Walu,Moderate,2020-06-30,748,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-24.73711,129.52559
Walytjatjata,Moderate,2020-06-30,176,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.97667,129.46583
Waminari,Moderate,2020-06-30,428,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.768607,133.39754
Wanakutja,Moderate,2020-06-30,890,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.10539,132.51106
Wanarkula,High,2020-06-30,119,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.99663,131.58803
Wandangula,Moderate,2020-06-30,256,Minor,No,Savanna,Roper Gulf Regional Council,Northern Land Council,40.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.05477,136.34558
Wandawuy,Low,2020-06-30,557,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,80.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.89147,136.35636
Wangalinji,High,2020-06-30,690,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-18.39639,137.46692
Wangkari,Moderate,2020-06-30,177,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.13169,129.01933
Wanmarra,Moderate,2020-06-30,178,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,Ngurratjuta Pmara Ntjarra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-24.388406,131.803467
Wanmarri,High,2020-06-30,652,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.45401,135.22691
Warby,High,2020-06-30,19471,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.1531,136.7344
Warlpeyangkrere,High,2020-06-30,998,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.54894,136.99175
Warren Creek,Low,2020-06-30,179,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.26572,131.17868
Warruwi,Moderate,2020-06-30,429,Major,No,Arnhem,West Arnhem Regional Council,Northern Land Council,457.0,West Arnhem Regional Council,Local Government Association,Yes,Yes,No,-11.64896,133.38935
Warumpi,Low,2020-06-30,180,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,10.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.185099,131.975143
Wataru,Low,2020-06-30,877,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,2.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.85858,129.05936
Watdagawuy,Moderate,2020-06-30,889,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.93961,135.70074
Wauk,High,2020-06-30,385,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.548625,132.925014
Wayililinypa,Moderate,2020-06-30,181,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.50196,131.44669
Weemol,Moderate,2020-06-30,654,Minor,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,329.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-13.644181,134.308625
Welere,High,2020-06-30,182,Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.02194,135.19169
Welmala,High,2020-06-30,183,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.68278,133.26116
Werenbun,Low,2020-06-30,655,Family Outstation,Yes,Savanna,Roper Gulf Regional Council,Northern Land Council,40.0,Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.18255,132.1611
Werre-Therre,Moderate,2020-06-30,708,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.54265,133.63473
West Island,Low,2020-06-30,274,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,4.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-15.64251,136.50235
West Waterhouse,Low,2020-06-30,185,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,12.0,MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.99573,133.11339
Wigu,High,2020-06-30,431,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.61353,133.43225
Wiitin,Low,2020-06-30,952,Family Outstation,Yes,Barkly,Barkly Regional Council,Central Land Council,1.0,Far Northern Contractors Pty Ltd  ( T & J Contractors ),Private Enterprise,Yes,Yes,No,-19.544931,134.236569
Wilgi,Moderate,2020-06-30,432,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,6.0,Demed Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.49601,132.74947
Williams Well,Low,2020-06-30,786,Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,8.0,Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.67327,134.27874
Willowra,Moderate,2020-06-30,186,Major,No,Alice Springs,Central Desert Regional Council,Central Land Council,354.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-21.244458,132.613903
Wilora,Moderate,2020-06-30,187,Minor,No,Alice Springs,Central Desert Regional Council,Central Land Council,112.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-21.7411,133.7311
Winparku,Moderate,2020-06-30,751,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.43465,131.46172
Wogyala,Moderate,2020-06-30,259,Family Outstation,No,Barkly,Barkly Regional Council,Northern Land Council,40.0,Manungurra Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-19.00617,135.17821
Wollagalonng Outstation,High,2020-06-30,21479,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.36721,133.439495
Wollogorang,Moderate,2020-06-30,275,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,3.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-17.21828,137.98884
Woodycupaldiya,Moderate,2020-06-30,434,Minor,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,45.0,Yantjarrwu Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.85926,130.00115
Woolaning,Moderate,2020-06-30,697,Family Outstation,Yes,Vernon Arafura,Un-Incorporate (Cox-Daly),Northern Land Council,9.0,Yilli Rreung Housing Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-13.105208,130.658903
Wooliana,Low,2020-06-30,715,Family Outstation,Yes,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,12.0,Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-13.674833,130.64275
Wudaduk,Moderate,2020-06-30,778,Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,6.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.02771,129.94375
Wudapuli,Moderate,2020-06-30,435,Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,21.0,West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.21351,129.85315
Wulaburri,Moderate,2020-06-30,995,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,Yes,No,-16.4064,136.84162
Wulkabimirri,Low,2020-06-30,838,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,55.0,Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.35538,134.90591
Wumajbarr,Low,2020-06-30,563,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,8.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-14.16648,135.69241
Wumirdin,High,2020-06-30,937,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.18907,129.56319
Wunara,Moderate,2020-06-30,707,Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,5.0,North Barkly Aboriginal Corporation/ Far Northern Contractors Pty Ltd,Aboriginal Corporation,Yes,Yes,No,-19.9898,136.6181
Wunburri,Moderate,2020-06-30,564,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.59498,136.07853
Wundigalla,Low,2020-06-30,996,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,6.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.475569,137.043069
Wuppa,Low,2020-06-30,684,Town Camp,No,ERA,Barkly Regional Council,Central Land Council,69.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-19.636958,134.199181
Wurankuwu,Moderate,2020-06-30,868,Minor,No,Arnhem,Tiwi Islands Regional Council,Tiwi Land Council,4.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.61652,130.27763
Wurdeja,Moderate,2020-06-30,437,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,10.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.170569,134.660847
Wurlbu,Moderate,2020-06-30,817,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,1.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.07464,136.28415
Wurrumenbumanja,High,2020-06-30,565,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.137792,136.515569
Wurrumiyanga,Moderate,2020-06-30,400,Major,No,ERA,Tiwi Islands Regional Council,Tiwi Land Council,1837.0,Tiwi Islands Regional Council,Local Government Association,Yes,Yes,No,-11.758306,130.63747
Wurwula,Moderate,2020-06-30,548,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.97646,136.30349
Wutunugurra,Moderate,2020-06-30,227,Major,No,Barkly,Barkly Regional Council,Central Land Council,195.0,Barkly Regional Council,Local Government Association,Yes,Yes,No,-20.461555,135.25241
Wuyagiba,Low,2020-06-30,567,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,20.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-14.62149,135.52036
Yakala,Low,2020-06-30,984,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,6.0,Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.886681,132.663903
Yalukun,Low,2020-06-30,864,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,4.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.262514,136.005847
Yaminyi,Moderate,2020-06-30,796,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.790261,134.356992
Yanbakwa,Moderate,2020-06-30,573,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,5.0,GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-14.216681,136.456125
Yangulinyina,Moderate,2020-06-30,218,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,3.0,Power Projects (NT) Pty Ltd,Private Enterprise,Yes,Yes,No,-16.88886,137.20896
Yanungbi,Moderate,2020-06-30,569,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,6.0,Laynhupuy Homelands Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.27975,136.65787
Yanyula,Moderate,2020-06-30,278,Town Camp,No,ERA,Roper Gulf Regional Council,Northern Land Council,200.0,Mabunji Aboriginal Resource Indigenous Corporation,Aboriginal Corporation,Yes,Yes,No,-16.0613,136.3083
Yarralin,High,2020-06-30,658,Major,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,344.0,Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-16.44841,130.88279
Yartalu Yartalu,Low,2020-06-30,939,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,6.0,Yapa-Kurlangu Ngurrara Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-20.57253,130.35528
Yatemans Bore,Moderate,2020-06-30,194,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.68622,131.61441
Yathalamarra,Moderate,2020-06-30,571,Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,66.0,Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.274458,134.921958
Yatjalu,Moderate,2020-06-30,191,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.40643,131.16216
Yederr,High,2020-06-30,719,Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.01965,129.72201
Yedikba,Moderate,2020-06-30,572,Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,4.0,GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-14.08056,136.45703
Yikarrakkal,Low,2020-06-30,797,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,15.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.503625,134.111403
Yilan,Moderate,2020-06-30,303,Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,20.0,Bawinanga Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.042514,134.621958
Yilila,Low,2020-06-30,898,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,8.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-13.68204,135.91308
Yimidarra,Low,2020-06-30,574,Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,12.0,Numbulwar Homelands Council Association Inc,Aboriginal Corporation,Yes,Yes,No,-14.21752,135.56463
Yinguwunarri,High,2020-06-30,659,Family Outstation,No,Savanna,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-16.60891,131.82362
Yinyikay,Low,2020-06-30,999,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,18.0,Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-12.21024,136.22921
Yinyiripalangu,Moderate,2020-06-30,195,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.21046,130.20558
Yirra Bandoo,High,2020-06-30,1002,Family Outstation,No,ERA,Litchfield Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.572931,131.022375
Yirringa,Moderate,2020-06-30,575,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.64538,136.02578
Yirrkala,High,2020-06-30,576,Major,No,ERA,East Arnhem Regional Council,Northern Land Council,951.0,East Arnhem Regional Council,Local Government Association,Yes,Yes,No,-12.252792,136.891681
Yudu Yudu,Moderate,2020-06-30,672,Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,10.0,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-12.233347,136.637236
Yuelamu,Moderate,2020-06-30,197,Major,No,Alice Springs,Central Desert Regional Council,Central Land Council,259.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-22.258347,132.205569
Yuendumu,Moderate,2020-06-30,198,Major,No,Alice Springs,Central Desert Regional Council,Central Land Council,892.0,Central Desert Regional Council,Local Government Association,Yes,Yes,Yes,-22.25389,131.79529
Yulara Pulka,Moderate,2020-06-30,863,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.25455,130.89108
Yulbara,Moderate,2020-06-30,1010,Family Outstation,No,Savanna,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-15.7777,136.9997
Yumurrpa,Moderate,2020-06-30,200,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.62731,130.78047
Yuwalki,High,2020-06-30,196,Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.56347,129.53922
Yuwerli,Moderate,2020-06-30,123,Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.03566,131.65064
