CUSTODIAN,BND_TYPE,SHORT_NAME,GAZ_NAME,GAZ_NO,GAZ_DATE,NOTES,SHAPE_Leng,SHAPE_Area
"Northern Territory Police, Fire and Emergency Services",Volunteer Brigade Area,Bees Creek,,,,Gazettals notices TBA,0.441432846101,0.00549761284912
"Northern Territory Police, Fire and Emergency Services",Volunteer Brigade Area,Koolpinyah,,,,Gazettals notices TBA,0.233639363922,0.00236243530511
"Northern Territory Police, Fire and Emergency Services",Volunteer Brigade Area,Humpty Doo,,,,Gazettals notices TBA,0.372635925849,0.00597398382147
"Northern Territory Police, Fire and Emergency Services",Volunteer Brigade Area,Virginia,,,,Gazettals notices TBA,0.271919989443,0.00273210237327
"Northern Territory Police, Fire and Emergency Services",Volunteer Brigade Area,Howard Springs,,,,Gazettals notices TBA,0.417748641166,0.00581815713905
